Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
265,2024-11-12,9154,SFEF,Sunrise Focused Equity Fund,9.4,9.41,9.4,9.4,11200,105380.0,9.3,10.5,7.41,2024-11-12T14:58:31.16975,9.4,5,9.4,940.0
260,2024-11-13,9154,SFEF,Sunrise Focused Equity Fund,9.32,9.32,9.31,9.31,500,4656.0,9.4,10.5,7.41,2024-11-13T14:53:23.32472,9.31,3,9.31,931.0
272,2024-11-14,9154,SFEF,Sunrise Focused Equity Fund,9.2,9.5,9.2,9.5,1410,13320.9,9.31,10.5,7.41,2024-11-14T14:46:41.59848,9.5,8,9.44,950.0
275,2024-11-17,9154,SFEF,Sunrise Focused Equity Fund,9.33,9.89,9.33,9.55,59010,573870.9,9.5,10.5,7.41,2024-11-17T14:50:07.194668,9.55,15,9.72,955.0
262,2024-11-19,9154,SFEF,Sunrise Focused Equity Fund,9.37,9.6,9.37,9.42,139700,1340975.0,9.55,10.5,7.41,2024-11-19T14:51:36.593889,9.42,10,9.59,942.0
273,2024-11-20,9154,SFEF,Sunrise Focused Equity Fund,9.42,9.85,9.42,9.85,212678,2089894.9,9.42,10.5,7.41,2024-11-20T14:53:18.708103,9.85,26,9.82,985.0
265,2024-11-21,9154,SFEF,Sunrise Focused Equity Fund,9.94,10.24,9.7,9.7,283510,2853305.4,9.85,10.5,7.41,2024-11-21T14:34:54.231041,9.7,19,10.06,970.0
273,2024-11-24,9154,SFEF,Sunrise Focused Equity Fund,9.54,9.54,9.54,9.54,100,954.0,9.7,10.5,7.41,2024-11-24T12:55:29.676799,9.54,1,9.54,954.0
270,2024-11-25,9154,SFEF,Sunrise Focused Equity Fund,9.36,9.5,9.35,9.46,1700,16052.0,9.54,10.5,7.41,2024-11-25T14:21:55.439374,9.46,7,9.44,946.0
237,2024-11-26,9154,SFEF,Sunrise Focused Equity Fund,9.46,9.53,9.35,9.53,700,6614.0,9.46,10.5,7.41,2024-11-26T13:03:19.184513,9.53,6,9.44,953.0
268,2024-11-27,9154,SFEF,Sunrise Focused Equity Fund,9.41,9.47,9.41,9.47,300,2831.0,9.53,10.5,7.41,2024-11-27T14:05:17.670422,9.47,3,9.43,947.0
259,2024-11-28,9154,SFEF,Sunrise Focused Equity Fund,9.34,9.52,9.34,9.52,400,3788.0,9.47,10.5,7.41,2024-11-28T13:02:29.776365,9.52,3,9.47,952.0
244,2024-12-01,9154,SFEF,Sunrise Focused Equity Fund,9.47,9.48,9.47,9.48,300,2842.0,9.52,10.5,7.41,2024-12-01T14:31:09.33875,9.48,3,9.47,948.0
262,2024-12-02,9154,SFEF,Sunrise Focused Equity Fund,9.5,9.5,9.5,9.5,100,950.0,9.48,10.5,7.41,2024-12-02T11:15:29.598276,9.5,1,9.5,950.0
257,2024-12-03,9154,SFEF,Sunrise Focused Equity Fund,9.49,9.6,9.49,9.6,800,7636.0,9.5,10.5,7.41,2024-12-03T14:18:37.375844,9.6,7,9.54,960.0
271,2024-12-04,9154,SFEF,Sunrise Focused Equity Fund,9.45,9.63,9.45,9.52,1900,18071.0,9.6,10.5,7.41,2024-12-04T14:54:58.797296,9.52,8,9.51,952.0
258,2024-12-05,9154,SFEF,Sunrise Focused Equity Fund,9.37,9.4,9.37,9.4,400,3756.0,9.52,10.5,7.41,2024-12-05T13:14:44.760695,9.4,4,9.39,940.0
269,2024-12-08,9154,SFEF,Sunrise Focused Equity Fund,9.25,9.44,9.25,9.44,2400,22342.0,9.4,10.5,7.41,2024-12-08T14:55:03.620745,9.44,5,9.3,944.0
254,2024-12-10,9154,SFEF,Sunrise Focused Equity Fund,9.6,9.6,9.6,9.6,500,4800.0,9.44,10.5,7.41,2024-12-10T14:16:24.65525,9.6,1,9.6,960.0
257,2024-12-11,9154,SFEF,Sunrise Focused Equity Fund,9.41,9.41,9.41,9.41,100,941.0,9.6,10.5,7.41,2024-12-11T11:52:34.273527,9.41,1,9.41,941.0
275,2024-12-12,9154,SFEF,Sunrise Focused Equity Fund,9.41,9.41,9.41,9.41,600,5646.0,9.41,10.5,7.41,2024-12-12T14:56:52.904877,9.41,3,9.41,941.0
256,2024-12-16,9154,SFEF,Sunrise Focused Equity Fund,9.25,9.3,9.25,9.3,300,2781.0,9.41,10.5,7.41,2024-12-16T14:21:24.058847,9.3,3,9.27,930.0
290,2024-12-17,9154,SFEF,Sunrise Focused Equity Fund,9.25,9.33,9.15,9.15,1700,15745.0,9.3,10.5,7.41,2024-12-17T14:40:36.01815,9.15,7,9.26,915.0
285,2024-12-18,9154,SFEF,Sunrise Focused Equity Fund,9.2,9.21,9.2,9.21,2300,21161.0,9.15,10.5,7.41,2024-12-18T14:57:08.126546,9.21,3,9.2,921.0
261,2024-12-19,9154,SFEF,Sunrise Focused Equity Fund,9.17,9.17,9.17,9.17,100,917.0,9.21,10.5,7.41,2024-12-19T11:27:49.327112,9.17,1,9.17,917.0
267,2024-12-22,9154,SFEF,Sunrise Focused Equity Fund,9.09,9.28,9.09,9.1,1183,10864.25,9.17,10.5,7.41,2024-12-22T13:46:27.218282,9.1,10,9.18,910.0
279,2024-12-23,9154,SFEF,Sunrise Focused Equity Fund,8.95,9.06,8.95,9.06,800,7196.0,9.1,10.5,7.41,2024-12-23T14:59:15.739237,9.06,5,8.99,906.0
282,2024-12-24,9154,SFEF,Sunrise Focused Equity Fund,9.06,9.2,9.03,9.11,2675,24306.25,9.06,10.5,7.41,2024-12-24T14:44:58.536007,9.11,7,9.08,911.0
270,2024-12-26,9154,SFEF,Sunrise Focused Equity Fund,9.06,9.11,9.06,9.11,300,2726.0,9.11,10.5,7.41,2024-12-26T14:45:50.599638,9.11,3,9.08,911.0
225,2024-12-29,9154,SFEF,Sunrise Focused Equity Fund,9.1,9.17,9.1,9.17,1610,14668.1,9.11,10.5,7.41,2024-12-29T14:45:44.661804,9.17,9,9.11,917.0
