Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
130,2024-11-24,2773,SAEF,Sanima Equity Fund,11.39,11.39,11.11,11.15,60680,679128.2,11.24,13.01,9.11,2024-11-24T14:50:17.432074,11.15,22,11.19,1449.5
147,2024-11-25,2773,SAEF,Sanima Equity Fund,11.36,11.36,11.0,11.05,242292,2690333.1,11.15,13.01,9.11,2024-11-25T14:40:15.528928,11.05,52,11.1,1436.5
124,2024-11-26,2773,SAEF,Sanima Equity Fund,11.27,11.27,11.1,11.15,10620,118749.5,11.05,13.01,9.11,2024-11-26T14:59:43.376052,11.15,10,11.18,1449.5
128,2024-11-27,2773,SAEF,Sanima Equity Fund,11.25,11.3,11.15,11.26,10400,116620.0,11.15,13.01,9.11,2024-11-27T14:58:22.918493,11.26,9,11.21,1463.8
108,2024-11-28,2773,SAEF,Sanima Equity Fund,11.18,11.21,11.15,11.15,108797,1215750.95,11.26,13.01,9.11,2024-11-28T14:21:18.286887,11.15,16,11.17,1449.5
115,2024-12-01,2773,SAEF,Sanima Equity Fund,11.15,11.25,11.11,11.25,46400,519552.0,11.15,13.01,9.11,2024-12-01T14:59:50.063562,11.25,12,11.19,1462.5
127,2024-12-02,2773,SAEF,Sanima Equity Fund,11.39,11.39,11.17,11.21,49870,559479.5,11.25,13.01,9.11,2024-12-02T14:33:52.999266,11.21,21,11.21,1457.3
128,2024-12-03,2773,SAEF,Sanima Equity Fund,11.21,11.3,11.15,11.26,90832,1025188.65,11.21,13.01,9.21,2024-12-03T14:59:41.540123,11.26,25,11.28,1463.8
128,2024-12-04,2773,SAEF,Sanima Equity Fund,11.21,11.37,11.21,11.27,231858,2620239.36,11.26,13.01,9.21,2024-12-04T14:59:55.373982,11.27,38,11.3,1465.1
125,2024-12-05,2773,SAEF,Sanima Equity Fund,11.39,11.39,11.24,11.24,398455,4497318.85,11.27,13.01,9.21,2024-12-05T14:58:28.698655,11.24,25,11.28,1461.2
130,2024-12-08,2773,SAEF,Sanima Equity Fund,11.2,11.25,11.18,11.19,148915,1670277.65,11.24,13.01,9.3,2024-12-08T14:56:55.250805,11.19,23,11.21,1454.7
126,2024-12-09,2773,SAEF,Sanima Equity Fund,11.17,11.2,11.17,11.18,76810,858697.7,11.19,13.01,9.3,2024-12-09T14:59:39.626553,11.18,19,11.17,1453.4
125,2024-12-10,2773,SAEF,Sanima Equity Fund,11.25,11.25,11.18,11.23,20064,225287.02,11.18,13.01,9.37,2024-12-10T14:59:18.237407,11.23,9,11.22,1459.9
125,2024-12-11,2773,SAEF,Sanima Equity Fund,11.17,11.23,11.17,11.21,21500,241076.0,11.23,13.01,9.37,2024-12-11T14:30:43.56684,11.21,10,11.21,1457.3
129,2024-12-12,2773,SAEF,Sanima Equity Fund,11.2,11.32,11.2,11.32,64160,719088.95,11.21,13.01,9.37,2024-12-12T14:58:53.266659,11.32,15,11.2,1471.6
123,2024-12-16,2773,SAEF,Sanima Equity Fund,11.32,11.32,11.11,11.2,32050,357831.0,11.32,13.01,9.45,2024-12-16T14:59:38.084939,11.2,10,11.16,1456.0
153,2024-12-17,2773,SAEF,Sanima Equity Fund,11.4,11.4,11.12,11.24,90309,1013320.72,11.2,13.01,9.45,2024-12-17T14:54:17.75832,11.24,16,11.22,1461.2
216,2024-12-18,2773,SAEF,Sanima Equity Fund,11.3,11.32,11.26,11.32,116400,1317177.0,11.24,13.01,9.45,2024-12-18T14:24:36.405347,11.32,24,11.31,1471.6
128,2024-12-19,2773,SAEF,Sanima Equity Fund,11.2,11.33,11.2,11.2,21635,242746.5,11.32,13.01,9.45,2024-12-19T14:37:52.587173,11.2,12,11.22,1456.0
129,2024-12-22,2773,SAEF,Sanima Equity Fund,11.07,11.31,11.07,11.25,81230,912238.0,11.2,13.01,9.52,2024-12-22T14:58:13.513129,11.25,29,11.23,1462.5
