Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
246,2024-10-30,9135,BHPL,Barahi Hydropower Public Limited,699.0,700.0,676.0,676.5,2432,1664939.2,688.0,780.0,365.1,2024-10-30T14:57:22.497825,676.5,34,684.59,1691.25
242,2024-11-05,9135,BHPL,Barahi Hydropower Public Limited,690.0,699.9,676.1,686.9,2544,1750282.1,676.5,780.0,365.1,2024-11-05T14:59:28.918867,686.9,41,688.0,1717.25
257,2024-11-06,9135,BHPL,Barahi Hydropower Public Limited,682.0,714.0,682.0,684.1,5036,3477699.5,686.9,780.0,365.1,2024-11-06T14:59:56.779267,684.1,62,690.56,1710.25
260,2024-11-10,9135,BHPL,Barahi Hydropower Public Limited,697.0,709.9,685.0,707.0,8894,6238699.3,684.1,780.0,374.6,2024-11-10T14:59:36.440428,707.0,136,701.45,1767.5
242,2024-11-11,9135,BHPL,Barahi Hydropower Public Limited,721.0,738.0,710.0,718.1,10626,7748229.5,707.0,780.0,374.6,2024-11-11T14:59:49.705902,718.1,145,729.17,1795.25
253,2024-11-12,9135,BHPL,Barahi Hydropower Public Limited,732.0,737.9,710.4,722.0,5979,4344866.1,718.1,780.0,374.6,2024-11-12T14:59:59.841123,722.0,101,726.68,1805.0
249,2024-11-13,9135,BHPL,Barahi Hydropower Public Limited,708.0,766.0,705.0,719.9,5966,4308888.9,722.0,780.0,374.6,2024-11-13T14:59:59.914974,719.9,93,722.24,1799.75
260,2024-11-14,9135,BHPL,Barahi Hydropower Public Limited,719.0,733.3,712.1,732.0,7348,5334813.7,719.9,780.0,374.6,2024-11-14T14:59:56.289436,732.0,111,726.02,1830.0
264,2024-11-17,9135,BHPL,Barahi Hydropower Public Limited,718.0,805.2,718.0,800.0,26541,21053827.1,732.0,805.2,374.6,2024-11-17T14:59:49.558729,800.0,398,793.25,2000.0
252,2024-11-19,9135,BHPL,Barahi Hydropower Public Limited,800.0,816.0,770.0,780.0,21943,17338581.0,800.0,816.0,374.6,2024-11-19T14:59:55.397728,780.0,306,790.16,1950.0
262,2024-11-20,9135,BHPL,Barahi Hydropower Public Limited,765.0,780.0,760.5,772.0,7821,6024362.9,780.0,816.0,378.2,2024-11-20T14:59:54.187292,772.0,125,770.28,1930.0
255,2024-11-21,9135,BHPL,Barahi Hydropower Public Limited,765.0,835.0,765.0,799.8,21346,16980548.5,772.0,835.0,378.2,2024-11-21T14:59:58.550605,799.8,270,795.49,1999.5
262,2024-11-24,9135,BHPL,Barahi Hydropower Public Limited,784.0,801.0,768.4,779.9,8762,6847233.1,799.8,835.0,378.2,2024-11-24T14:59:57.691551,779.9,132,781.46,1949.75
263,2024-11-25,9135,BHPL,Barahi Hydropower Public Limited,769.0,789.0,756.0,777.1,9647,7478325.9,779.9,835.0,378.2,2024-11-25T14:59:44.572856,777.1,142,775.19,1942.75
275,2024-11-26,9135,BHPL,Barahi Hydropower Public Limited,770.0,800.0,770.0,794.0,6390,5025025.3,777.1,835.0,378.2,2024-11-26T14:59:54.60821,794.0,108,786.38,1985.0
258,2024-11-27,9135,BHPL,Barahi Hydropower Public Limited,786.0,801.0,782.0,793.6,10391,8225162.2,794.0,835.0,378.2,2024-11-27T15:00:02.620858,793.6,128,791.56,1984.0
254,2024-11-28,9135,BHPL,Barahi Hydropower Public Limited,786.0,803.0,780.2,786.0,6801,5355925.7,793.6,835.0,378.2,2024-11-28T14:59:55.258972,786.0,91,787.52,1965.0
239,2024-12-01,9135,BHPL,Barahi Hydropower Public Limited,771.0,799.0,769.0,782.7,3191,2486323.1,786.0,835.0,378.2,2024-12-01T14:59:11.900463,782.7,68,779.16,1956.75
251,2024-12-02,9135,BHPL,Barahi Hydropower Public Limited,770.0,810.0,770.0,788.9,11966,9407574.9,782.7,835.0,378.2,2024-12-02T14:59:28.617359,788.9,134,786.19,1972.25
247,2024-12-03,9135,BHPL,Barahi Hydropower Public Limited,774.0,805.0,774.0,798.0,14024,11138818.4,788.9,835.0,378.2,2024-12-03T14:59:57.24051,798.0,182,794.26,1995.0
260,2024-12-04,9135,BHPL,Barahi Hydropower Public Limited,795.0,833.9,795.0,809.0,18611,15226646.1,798.0,835.0,385.1,2024-12-04T14:59:50.556581,809.0,292,818.15,2022.5
247,2024-12-05,9135,BHPL,Barahi Hydropower Public Limited,800.0,829.8,785.0,786.0,11794,9503711.4,809.0,835.0,388.0,2024-12-05T14:59:54.214367,786.0,140,805.8,1965.0
258,2024-12-08,9135,BHPL,Barahi Hydropower Public Limited,775.0,790.5,759.0,769.0,9462,7320847.2,786.0,835.0,395.8,2024-12-08T14:59:47.827168,769.0,112,773.71,1922.5
252,2024-12-09,9135,BHPL,Barahi Hydropower Public Limited,765.0,780.0,755.0,764.8,7652,5815070.5,769.0,835.0,395.8,2024-12-09T14:59:46.38014,764.8,129,759.94,1912.0
244,2024-12-10,9135,BHPL,Barahi Hydropower Public Limited,760.0,775.2,751.0,768.8,4954,3795167.9,764.8,835.0,400.1,2024-12-10T14:59:55.670918,768.8,87,766.08,1922.0
246,2024-12-11,9135,BHPL,Barahi Hydropower Public Limited,765.0,795.0,765.0,777.9,3103,2399234.2,768.8,835.0,400.1,2024-12-11T14:59:57.518705,777.9,52,773.19,1944.75
250,2024-12-12,9135,BHPL,Barahi Hydropower Public Limited,770.0,817.0,770.0,787.0,15690,12515312.3,777.9,835.0,403.1,2024-12-12T14:59:56.175063,787.0,182,797.66,1967.5
223,2024-12-16,9135,BHPL,Barahi Hydropower Public Limited,772.0,804.0,765.0,788.0,7430,5796831.6,787.0,835.0,412.6,2024-12-16T14:59:58.095142,788.0,110,780.19,1970.0
281,2024-12-17,9135,BHPL,Barahi Hydropower Public Limited,780.0,790.0,766.5,778.0,8696,6741888.4,788.0,835.0,412.6,2024-12-17T14:59:58.124866,778.0,105,775.28,1945.0
159,2024-12-18,9135,BHPL,Barahi Hydropower Public Limited,770.0,799.0,765.0,776.0,4083,3169738.9,778.0,835.0,412.6,2024-12-18T14:58:34.168408,776.0,65,776.32,1940.0
250,2024-12-19,9135,BHPL,Barahi Hydropower Public Limited,770.1,784.0,755.0,755.0,5314,4061638.4,776.0,835.0,412.6,2024-12-19T14:59:45.895422,755.0,93,764.32,1887.5
254,2024-12-22,9135,BHPL,Barahi Hydropower Public Limited,740.0,830.5,740.0,830.5,46199,37515018.0,755.0,835.0,412.6,2024-12-22T14:59:58.078665,830.5,469,812.03,2076.25
271,2024-12-23,9135,BHPL,Barahi Hydropower Public Limited,847.1,913.5,813.9,913.5,31013,27432170.9,830.5,913.5,412.6,2024-12-23T14:59:57.580101,913.5,362,884.53,2283.75
206,2024-12-24,9135,BHPL,Barahi Hydropower Public Limited,931.7,931.7,872.6,899.9,15682,14040469.9,913.5,931.7,412.6,2024-12-24T14:59:56.581347,899.9,226,895.32,2249.75
238,2024-12-26,9135,BHPL,Barahi Hydropower Public Limited,882.0,882.0,832.0,850.0,39310,33227473.8,899.9,931.7,412.6,2024-12-26T14:59:59.868752,850.0,230,845.26,2125.0
288,2024-12-29,9135,BHPL,Barahi Hydropower Public Limited,849.0,865.9,819.0,828.0,15397,12862711.4,850.0,931.7,412.6,2024-12-29T14:59:57.58753,828.0,145,835.4,2070.0
